soma_jogador,carta_dealer,as_utilizavel,q_hit,q_stick,melhor_acao
4,1,0,-0.46093041396065443,-0.5217031000000001,hit
4,2,0,-0.11015613544139514,-0.19,hit
4,3,0,-0.19561754286039473,-0.271,hit
4,4,0,-0.11980946551265809,-0.271,hit
4,5,0,-0.06601296682711563,-0.14005765822257102,hit
4,6,0,-0.022079086811630906,-0.19,hit
4,7,0,0.008739061360290892,-0.1,hit
4,8,0,-0.2868682729218287,-0.34390000000000004,hit
4,9,0,-0.3400508732650199,-0.39139186411,hit
4,10,0,-0.3142413590403837,-0.55496940391,hit
5,1,0,-0.4643488561162369,-0.6125795110000001,hit
5,2,0,-0.17660574152126834,-0.350461,hit
5,3,0,-0.09155003986793313,-0.35204534371900004,hit
5,4,0,-0.09112993031664739,-0.1574529162960132,hit
5,5,0,-0.022950906443344757,-0.47243202391000005,hit
5,6,0,0.049900408364845064,-0.26371,hit
5,7,0,-0.14779456518047374,-0.40951000000000004,hit
5,8,0,-0.07096413345520486,-0.5217031000000001,hit
5,9,0,-0.3160234045132738,-0.5652281179,hit
5,10,0,-0.34839564665472983,-0.49845300130366776,hit
6,1,0,-0.5368914002256233,-0.717570463519,hit
6,2,0,-0.2760769800120583,-0.39923335990000003,hit
6,3,0,-0.05802933896118307,-0.40870530611,hit
6,4,0,-0.19572305180632235,-0.37030850913619,hit
6,5,0,-0.01179377594388578,-0.311459761332649,hit
6,6,0,0.06539636690980292,-0.04264442867909214,hit
6,7,0,-0.19336141574356724,-0.36809140390999995,hit
6,8,0,-0.20366551678206263,-0.38953279,hit
6,9,0,-0.30579442490204783,-0.43831279000000006,hit
6,10,0,-0.4106968018757222,-0.6481743056166003,hit
7,1,0,-0.4876694095493691,-0.7712320754503901,hit
7,2,0,-0.14429454251585871,-0.510615799885351,hit
7,3,0,-0.08842457550480654,-0.43645371589000004,hit
7,4,0,-0.04777720900785119,-0.235943827176625,hit
7,5,0,0.037416777603179754,-0.23344936279577105,hit
7,6,0,0.025801632630334827,0.08298785085290002,stick
7,7,0,0.0360698904797946,-0.4961900919749953,hit
7,8,0,-0.120384592238437,-0.3650333599000001,hit
7,9,0,-0.28407363404475355,-0.5332235599,hit
7,10,0,-0.3104000161975625,-0.700151621296284,hit
8,1,0,-0.3822978088858139,-0.6629672482327007,hit
8,2,0,-0.06891762344986627,-0.23645371589,hit
8,3,0,0.03706812660852672,-0.1805718218509,hit
8,4,0,-0.022395553533574503,-0.31734560483290003,hit
8,5,0,0.010980539145182523,-0.47600770176853796,hit
8,6,0,0.12391528534484594,-0.0626174621,hit
8,7,0,0.212413833168049,-0.50241710611,hit
8,8,0,0.1482478717113666,-0.36038940390999996,hit
8,9,0,-0.2827924674663574,-0.37566217990000006,hit
8,10,0,-0.38363192863085227,-0.8759984505582084,hit
9,1,0,-0.4235038707278218,-0.6534716249025151,hit
9,2,0,-0.028196678112581513,-0.08058717332055432,hit
9,3,0,0.21956829296933358,-0.4163942381293061,hit
9,4,0,0.246886560751017,-0.24201860111481593,hit
9,5,0,0.23449783458378173,-0.061009903267504606,hit
9,6,0,0.13366728326339394,0.012711532885445659,hit
9,7,0,0.129128696915535,-0.37681186411,hit
9,8,0,0.10000642522363214,-0.10563479,hit
9,9,0,0.13204442894547896,-0.3217031,hit
