soma_jogador,carta_dealer,as_utilizavel,true_count,q_hit,q_stick,melhor_acao
4,1,0,-2,-0.45723867794630446,-0.4835032178429698,hit
4,1,0,-1,-0.3654632281073129,-0.37894213789813225,hit
4,1,0,0,-0.4361160694395585,-0.5170481815417814,hit
4,1,0,1,-0.3579387071543864,-0.4013726343793671,hit
4,1,0,2,-0.401750031239808,-0.5367087698402466,hit
4,2,0,-2,-0.1209073110764938,-0.19674534564751062,hit
4,2,0,-1,-0.09746293473092761,-0.13596906250000002,hit
4,2,0,0,-0.17753507806840207,-0.43262190795423117,hit
4,2,0,1,-0.13148976399699985,-0.20517085738025062,hit
4,2,0,2,-0.20240265815635738,-0.2426991549167199,hit
4,3,0,-2,-0.10751052533802623,-0.1603483623564127,hit
4,3,0,-1,-0.10160524355745378,-0.13898830598720216,hit
4,3,0,0,-0.17959185268605005,-0.21764458884429763,hit
4,3,0,1,-0.09922040289892693,-0.14241601484375,hit
4,3,0,2,-0.11223949815371012,-0.16396608118267045,hit
4,4,0,-2,-0.08282603216480892,-0.17283678782732648,hit
4,4,0,-1,-0.09393545222771467,-0.142625,hit
4,4,0,0,-0.030612042377667823,-0.11047889530166505,hit
4,4,0,1,-0.10152331029466648,-0.17163118815940764,hit
4,4,0,2,-0.007068139993881869,-0.1873639277070555,hit
4,5,0,-2,-0.0327364758698586,-0.12428461015624997,hit
4,5,0,-1,-0.09656493111180108,-0.1447684375,hit
4,5,0,0,-0.030126556879056247,-0.18345748437499998,hit
4,5,0,1,-0.13712997418182699,-0.16720236287431942,hit
4,5,0,2,-0.026918148566025476,-0.23110946968729865,hit
4,6,0,-2,0.018552005667149603,-0.11610465768370368,hit
4,6,0,-1,0.03956696141627551,-0.048409135802855364,hit
4,6,0,0,0.02117113212590504,-0.09099009366104005,hit
4,6,0,1,0.027805573584286845,-0.043004204872172845,hit
4,6,0,2,-0.03484307704354092,-0.10040173608173975,hit
4,7,0,-2,-0.010320550006825873,-0.11141270390625,hit
4,7,0,-1,-0.048987519793548456,-0.142625,hit
4,7,0,0,-0.12681496813651816,-0.23969284153637052,hit
4,7,0,1,-0.11650345052404788,-0.22021207890625,hit
4,7,0,2,-0.17298952373190918,-0.2794585435183864,hit
4,8,0,-2,-0.15016807462375872,-0.3249061291318685,hit
4,8,0,-1,-0.14119595634768198,-0.17646951708974612,hit
4,8,0,0,-0.1449148365662175,-0.30166270390625005,hit
4,8,0,1,-0.13722686713656554,-0.174658109375,hit
4,8,0,2,-0.15609562678683508,-0.22164924634351002,hit
4,9,0,-2,-0.23374612197893313,-0.2962414012128906,hit
4,9,0,-1,-0.1771714554464074,-0.16977221893242475,stick
4,9,0,0,-0.2808788572147066,-0.28324716285484536,hit
4,9,0,1,-0.230841376905366,-0.2380010127508431,hit
4,9,0,2,-0.21660263139339986,-0.39976621841352517,hit
4,10,0,-2,-0.37172434142504984,-0.5892134418080115,hit
4,10,0,-1,-0.35417417676393126,-0.6682895438154053,hit
4,10,0,0,-0.33535434715099083,-0.4948571104656197,hit
4,10,0,1,-0.30781676294740506,-0.46873023951515796,hit
4,10,0,2,-0.3045943115925616,-0.5639938880998916,hit
5,1,0,-2,-0.45757149671092867,-0.48161103083369694,hit
5,1,0,-1,-0.4694597334567858,-0.5367087698402466,hit
5,1,0,0,-0.4336456771460663,-0.530532351320803,hit
5,1,0,1,-0.44237370978812635,-0.45834765864496385,hit
5,1,0,2,-0.4922088625519295,-0.5504594639600474,hit
5,2,0,-2,-0.06564372169461101,-0.22087447229152002,hit
5,2,0,-1,-0.205550922361651,-0.24157956871093753,hit
5,2,0,0,-0.15627441811036313,-0.3138808909339262,hit
5,2,0,1,-0.21421541701615926,-0.2847795823771283,hit
5,2,0,2,-0.2081454853552425,-0.3157567410005002,hit
5,3,0,-2,-0.09503160178708424,-0.29060687228677196,hit
5,3,0,-1,-0.11305436908408398,-0.143203201547999,hit
5,3,0,0,-0.13945718395243947,-0.17669200981850286,hit
5,3,0,1,-0.05704305931150556,-0.18777504933929243,hit
5,3,0,2,-0.11096924466157033,-0.33827249506712237,hit
5,4,0,-2,-0.09089821920662658,-0.17177544093729577,hit
5,4,0,-1,-0.03827886349941258,-0.03881084417248513,hit
5,4,0,0,-0.05626189554636564,-0.19705557494813408,hit
5,4,0,1,-0.09012557980558882,-0.1549218031781275,hit
5,4,0,2,-0.07492225859559667,-0.19372264488853752,hit
5,5,0,-2,-0.05593924459054582,-0.18801627162317952,hit
5,5,0,-1,-0.024498727373712566,-0.05486539708383533,hit
5,5,0,0,-0.08741271263681888,-0.11177142236324078,hit
5,5,0,1,-0.06971570757985764,-0.19578057801653104,hit
5,5,0,2,-0.14226706900527172,-0.19188135875870727,hit
5,6,0,-2,0.015948119872969763,-0.1459427697811,hit
5,6,0,-1,0.05968156445417728,-0.18753001562500002,hit
